image_name,target_len,prediction_len,length_ratio,token_edit_distance,normalized_token_edit_distance,char_edit_distance,exact_match_bool,graph_em_ok,graph_structure_ok,chemfig_count,arrow_count,branch_count,ring_anchor_count,angle_bond_count,max_brace_depth,max_paren_depth,structure_score
valid_00000.jpg,82,82,1.0,26.0,0.3939393939393939,145.0,False,False,False,1,0,16,6,25,2,6,222
valid_00001.jpg,78,79,1.0128205128205128,15.0,0.2419354838709677,79.0,False,False,False,1,0,16,4,25,2,4,212
valid_00002.jpg,73,69,0.9452054794520548,35.0,0.6363636363636364,171.0,False,False,False,1,0,18,6,22,1,5,205
valid_00003.jpg,86,86,1.0,17.0,0.2575757575757575,28.0,False,False,False,1,0,20,4,25,2,5,232
valid_00004.jpg,87,87,1.0,16.0,0.2318840579710145,8.0,False,True,True,1,0,18,8,26,2,4,241
valid_00005.jpg,81,87,1.0740740740740742,40.0,0.6349206349206349,133.0,False,False,False,1,0,18,4,28,1,5,219
valid_00006.jpg,68,70,1.0294117647058822,21.0,0.4038461538461538,36.0,False,False,False,1,0,16,4,22,1,3,188
valid_00007.jpg,82,83,1.0121951219512195,20.0,0.303030303030303,61.0,False,False,False,1,0,16,6,26,2,4,224
valid_00008.jpg,72,70,0.9722222222222222,28.0,0.4666666666666667,60.0,False,False,False,1,0,12,6,22,2,2,194
valid_00009.jpg,76,76,1.0,43.0,0.7166666666666667,195.0,False,False,False,1,0,16,4,22,2,4,204
valid_00010.jpg,78,78,1.0,12.0,0.1935483870967742,6.0,False,True,True,1,0,16,6,23,2,4,214
valid_00011.jpg,83,83,1.0,13.0,0.1940298507462686,8.0,False,False,False,1,0,16,6,18,2,5,209
valid_00012.jpg,100,102,1.02,20.0,0.238095238095238,85.0,False,False,False,1,0,16,2,25,2,3,228
valid_00013.jpg,75,75,1.0,23.0,0.3898305084745763,98.0,False,False,False,1,0,16,6,21,2,5,207
valid_00014.jpg,76,76,1.0,12.0,0.1935483870967742,6.0,False,True,True,1,0,14,6,22,2,2,204
valid_00015.jpg,80,80,1.0,16.0,0.2580645161290322,15.0,False,False,False,1,0,18,6,24,1,4,216
valid_00016.jpg,76,76,1.0,29.0,0.4833333333333333,53.0,False,False,False,1,0,16,6,22,2,4,210
valid_00017.jpg,97,97,1.0,24.0,0.3116883116883117,168.0,False,False,False,1,0,20,4,28,2,8,249
valid_00018.jpg,82,82,1.0,45.0,0.703125,167.0,False,False,False,1,0,18,6,26,1,4,222
valid_00019.jpg,82,82,1.0,13.0,0.203125,8.0,False,False,False,1,0,18,6,24,2,4,226
valid_00020.jpg,53,53,1.0,15.0,0.3488372093023256,60.0,False,False,False,1,0,10,4,19,1,1,149
valid_00021.jpg,93,98,1.053763440860215,39.0,0.5342465753424658,144.0,False,False,False,1,0,20,8,27,2,5,255
valid_00022.jpg,80,70,0.875,37.0,0.5967741935483871,161.0,False,False,False,1,0,18,8,27,1,5,228
valid_00023.jpg,67,63,0.9402985074626866,16.0,0.2909090909090909,29.0,False,False,False,1,0,12,6,20,2,3,185
valid_00024.jpg,63,62,0.9841269841269841,25.0,0.5102040816326531,88.0,False,False,False,1,0,14,6,18,2,4,183
valid_00025.jpg,74,78,1.054054054054054,26.0,0.4482758620689655,75.0,False,False,False,1,0,16,6,26,1,4,208
valid_00026.jpg,60,56,0.9333333333333333,27.0,0.5869565217391305,136.0,False,False,False,1,0,14,6,19,1,3,174
valid_00027.jpg,78,78,1.0,36.0,0.6,158.0,False,False,False,1,0,18,6,21,1,4,208
valid_00028.jpg,69,69,1.0,12.0,0.2181818181818181,43.0,False,False,False,1,0,14,4,19,2,4,185
valid_00029.jpg,87,87,1.0,12.0,0.1846153846153846,6.0,False,True,True,1,0,22,6,25,1,6,237
valid_00030.jpg,89,89,1.0,40.0,0.5970149253731343,135.0,False,False,False,1,0,22,6,26,1,5,241
valid_00031.jpg,75,70,0.9333333333333333,23.0,0.3898305084745763,63.0,False,False,False,1,0,16,8,26,1,4,215
valid_00032.jpg,65,69,1.0615384615384615,34.0,0.6181818181818182,132.0,False,False,False,1,0,10,4,19,2,3,169
valid_00033.jpg,78,78,1.0,27.0,0.45,93.0,False,False,False,1,0,18,6,26,1,5,218
valid_00034.jpg,70,70,1.0,32.0,0.5714285714285714,138.0,False,False,False,1,0,14,4,23,2,3,194
valid_00035.jpg,87,79,0.9080459770114943,39.0,0.582089552238806,132.0,False,False,False,1,0,20,6,27,1,5,235
